,amplitude,frequency
0,(-0.1439398471335304-0.9870972061922718j),0.3100208433900308
1,(0.001111202609081164+0.007397370926045486j),0.3118873963720778
2,(-0.0010475319235693863-0.0074065887276009565j),0.3081542904048486
3,(-0.0012437373042322958-0.003440018295119703j),0.359959073569839
4,(-0.0012656020403593556+0.00221819060393529j),0.3799583132199997
5,(-0.001004872158963769-0.0015901929390811306j),0.0
6,(0.0009042238344113411+1.870936782076053e-05j),0.36995869339484844
7,(-0.00047709336064752367+0.00025384288641117076j),-0.3799583132199404
8,(-0.00018963084681155424+0.00037593684170774403j),-0.3599590735698707
9,(8.163810768083042e-05+0.0003196194699839339j),-0.00999961982506299
10,(-1.293363065336401e-05-0.0003297516893213207j),-0.369958693394863
11,(0.00022324376777571782+0.00015941965821432218j),0.00999961982507697
12,(-0.00025542533534540063+0.00013174076409149253j),0.330020083044059
13,(2.1513182158049995e-06-0.00010950787650639479j),0.32002046320716687
14,(3.279737304728772e-05+6.659391458829689e-05j),4.485846545774031e-13
15,(5.4254355796632085e-05+1.6991344694078507e-05j),-0.31002084333895774
16,(-1.8321711125225843e-05-4.867587735168788e-05j),0.361825626553701
17,(1.9024690212616824e-05+5.479944578203768e-05j),0.35809252058678837
18,(2.0766830657257676e-05-3.454844607124322e-05j),0.3780917602384329
19,(3.729669096593045e-05+5.359811762851012e-06j),0.3000212235181053
20,(-1.7296188735766516e-05+3.20521551974093e-05j),0.38182486620580497
21,(-1.6401881529420357e-05+3.0002021502991657e-05j),0.06993746982991095
22,(2.6098769914768888e-05-1.743614537690896e-05j),-0.06993746983015492
23,(-4.7631123160742555e-06-3.091583404432983e-05j),0.31375394935343215
24,(-3.3523459207841448e-06-2.4584559077292295e-05j),0.306287737413443
25,(6.474296200487938e-06-1.696556139335341e-05j),0.049938230179735046
26,(-4.049452426278593e-06-1.4706271355858293e-05j),-0.3118873963757831
27,(-1.4484096917329556e-05-9.299933983806399e-06j),-0.33002008304350094
28,(6.235432690152374e-06-1.3414434551466597e-05j),0.318153910230802
29,(-3.5213360183802056e-06-1.441805210906952e-05j),-0.30815429040521536
30,(1.2975458839450674e-05+2.6993561899257706e-07j),0.37182524637900843
31,(-1.4201717664034996e-05-2.9597246969421913e-07j),0.36809214041161636
32,(4.296469761244601e-06-7.739562622616417e-06j),0.3218870162008143
33,(-8.1857075878105e-06+2.15635732480992e-06j),-0.049938230179589954
34,(-7.015985400754146e-06+3.64422079465529e-06j),-0.3818248662038231
35,(7.293543523150228e-06-3.969425587236362e-06j),-0.37809176023671276
36,(-2.8804760216397347e-06+5.603679679017064e-06j),-0.36182562655378697
37,(2.2809045962571086e-06-5.576292795127843e-06j),0.039938610371416286
38,(2.8098470718078767e-06-5.678656348048925e-06j),-0.35809252058666624
39,(-1.9122732744764708e-07-4.963048212905507e-06j),-0.37182524637917524
40,(4.4522019134657026e-08-4.681096242278721e-06j),-0.039938610327231325
41,(2.0172059772687437e-07+4.928370048709193e-06j),-0.3680921404115976
42,(3.769259680067212e-06-1.1162366540956652e-06j),0.059937850004661064
43,(-2.7320097629684593e-06-2.692012771732926e-06j),-0.32002046323028444
44,(-1.1270426077833274e-06+3.2449693439420664e-06j),-0.05993785000456548
45,(-1.1290850930525929e-06-2.8098206884036098e-06j),0.2700822330502255
46,(-1.448547005308306e-07+2.454432115572426e-06j),0.34995944941516627
47,(1.9378845924367926e-06-1.0201892669120175e-06j),0.33188663601275975
48,(-1.8920013479157995e-06+9.568854130336044e-07j),0.3281535300385746
49,(-1.2446815036869753e-06-1.1661907307858388e-06j),0.24008337377748398
50,(-1.0005407971033129e-06-2.0703878639671995e-07j),0.2900217367224278
51,(9.8704880557597e-07-5.255466703515741e-07j),0.28008185431832117
52,(-3.7049977420568524e-07+6.765851950626383e-07j),0.07180402281503889
53,(3.676719751278191e-07-6.737745766753459e-07j),0.06807091684861842
54,(-5.242816676759705e-08-6.981221701793504e-07j),-0.0199992419845542
55,(5.876717404984887e-07-3.877044325158202e-07j),-0.07180402281531094
56,(-5.869030978111545e-07+3.9709434485884355e-07j),-0.0680709168492237
57,(5.623965746799333e-07-1.836898435546882e-07j),0.2500829933911046
58,(-3.0066523572415015e-07+4.264550838750987e-07j),-0.30002122353918187
59,(2.4888965718346223e-07+4.351661890378617e-07j),0.0199992378145205
60,(-1.4314205985853968e-07-4.301921705483572e-07j),0.3562259675943507
61,(-4.3560748226121707e-07-1.6675389669740265e-07j),0.2600826132158573
62,(-1.4236196860383505e-07+3.85462618316494e-07j),0.04807167720250762
63,(3.835626122152101e-07+1.0263823822695722e-08j),-0.3218870162032354
64,(1.4908575823776748e-07-3.789938792690902e-07j),0.05180478316968711
65,(-1.381945991733612e-07-3.534105232262252e-07j),0.36369217956868316
66,(-1.7923236204454286e-07+2.848836087302191e-07j),0.3762252072670371
67,(3.304714884667043e-07-3.405936463079383e-08j),-0.3181539102333038
68,(3.050912119376119e-07+9.458992306473878e-08j),0.29815467049131406
69,(8.631029167160367e-08+2.6060971702815615e-07j),0.3899579202246769
70,(-1.1051248186124791e-07+2.1845431970401437e-07j),0.3836914191996149
71,(-2.1448389538023957e-07+1.0054859329631623e-07j),-0.34995944902659293
72,(-2.1797705328160063e-07+6.79518955140653e-08j),0.3018877762570938
73,(1.9010759509852535e-07+1.2214011636153074e-07j),0.001866553005339739
74,(1.8534807858812107e-07+1.246650767857736e-07j),-0.0018665530561834454
75,(-1.1513202630977299e-07-1.8178003587239565e-07j),-0.24008337375967745
76,(1.8391784589922538e-07-4.2677518484771486e-08j),-0.0480716771995019
77,(-1.8476955971207595e-07+5.385451161084749e-08j),-0.0518047831685902
78,(-1.6554540112475698e-07-4.715277985901681e-08j),0.0037331059752465957
79,(-1.603846860823331e-07-4.945747063113124e-08j),-0.0037331059684575702
80,(-1.667798818217005e-07-2.0904424239819402e-08j),-0.38995793416744234
81,(-5.587834534546749e-08+1.3051485042108267e-07j),0.038072057371624765
82,(1.1472008541680321e-07+7.10788129177784e-08j),-0.33188663602629515
83,(-1.1147784301510593e-07-1.0101619962527218e-07j),-0.2700822330584359
84,(-1.0289220236616367e-07-6.870212751667107e-08j),-0.32815353004611464
85,(4.146206264370729e-08+1.1427166967601445e-07j),-0.31375394934952316
86,(4.711500257573235e-08-1.211781418169313e-07j),0.04180516334445045
87,(1.1406123032696552e-07+2.465892638696704e-09j),0.36622558776855163
88,(4.758559877818474e-08-1.0252078320876748e-07j),0.31628733252996044
89,(-2.0861154229849452e-10+1.1183453199305125e-07j),-0.03807205737629088
90,(-1.5886219294422393e-08-1.0435431506861287e-07j),-0.3062877374155227
91,(1.0990486646946823e-07-1.08424500183654e-08j),-0.2600826132079761
92,(3.719932498972498e-08+9.046898112577984e-08j),0.2719487859885141
93,(-8.968956439776327e-08-5.524271693773683e-08j),-0.280081852313044
94,(1.5627320624527786e-08+9.907927498935028e-08j),0.3156205021076035
95,(-8.817345980813906e-08+2.6130944596991018e-08j),0.058071297018991594
96,(1.597953907323093e-09-9.956595852477594e-08j),-0.04180516334449132
97,(9.173177961441094e-08+1.9721870789685114e-09j),0.3736917997144472
98,(-3.103227263211381e-08-7.904312303873864e-08j),0.2682156800833606
99,(8.183612793294507e-08-2.3702466567578013e-08j),0.06180440299671247
